Authors,Title,Year
"A Muzahid, S Qi, J Torrellas",Vulcan: Hardware support for detecting sequential consistency violations dynamically,2012
"A Meixner, DJ Sorin",Dynamic verification of sequential consistency,2005
"P Kuznetsov, S Ravi",On the cost of concurrency in transactional memory,2011
"A Gotsman, H Yang",Linearizability with ownership transfer,2012
"J Bornholt, E Torlak",Synthesizing memory models from framework sketches and litmus tests,2017
"R Chandra, K Gharachorloo, V Soundararajan, ...",Performance evaluation of hybrid hardware and software distributed shared memory protocols,1994
"M Vijayaraghavan, A Chlipala, N Dave",Modular deductive verification of multiprocessor hardware designs,2015
HJ Boehm,Can seqlocks get along with programming language memory models?,2012
"A Linden, P Wolper",A verification-based approach to memory fence insertion in relaxed memory systems,2011
"A Gotsman, M Musuvathi, H Yang",Show no weakness: sequentially consistent specifications of TSO libraries,2012
"A Roychoudhury, T Mitra",Specifying multithreaded Java semantics for program verification,2002
"A Gotsman, N Rinetzky, H Yang",Verifying concurrent memory reclamation algorithms with grace,2013
"E Cohen, B Schirmer",From total store order to sequential consistency: A practical reduction theorem,2010
"J Tassarotti, D Dreyer, V Vafeiadis",Verifying read-copy-update in a logic for weak memory,2015
"J Manson, W Pugh",Core semantics of multithreaded Java,2001
"MF Atig, A Bouajjani, S Burckhardt, ...",What's Decidable about Weak Memory Models?,2012
"VW Freeh, GR Andrews",Dynamically controlling false sharing in distributed shared memory,1996
"A Armstrong, C Pulte, S Flur, I Stark, N Krishnaswami…","ISA semantics for ARMv8-a, RISC-v, and CHERI-MIPS",2019
"Z Baranová, J Barnat, K Kejstová, T Kučera, ...",Model Checking of C and C++ with DIVINE 4,2017
C Watt,Mechanising and verifying the WebAssembly specification,2018
"C Manovit, S Hangal",Efficient algorithms for verifying memory consistency,2005
TA Henzinger,Quantitative reactive modeling and verification,2013
"R Guerraoui, TA Henzinger, V Singh",Software transactional memory on relaxed memory models,2009
M Rinard,Parallel synchronization-free approximate data structure construction,2013
"S Huang, J Huang",Maximal causality reduction for TSO and PSO,2016
"J Manson, W Pugh",Semantics of multithreaded Java,2001
"S Clebsch, S Drossopoulou",Fully concurrent garbage collection of actors on many-core machines,2013
"L Brutschy, D Dimitrov, P Müller, M Vechev","Serializability for eventual consistency: criterion, analysis, and applications",2017
"KE Gray, G Kerneis, D Mulligan, C Pulte, ...","An integrated concurrency and core-ISA architectural envelope definition, and test oracle, for IBM POWER multiprocessors",2015
"M Zheng, MS Rogers, Z Luo, MB Dwyer, ...",CIVL: formal verification of parallel programs,2015
"YA Manerkar, D Lustig, M Pellauer, ...",CCICheck: Using μhb graphs to verify the coherence-consistency interface,2015
"PA Abdulla, MF Atig, YF Chen, C Leonardsson…",Automatic fence insertion in integer programs via predicate abstraction,2012
"A Gidenstam, H Sundell, P Tsigas",Cache-aware lock-free queues for multiple producers/consumers and weak memory consistency,2010
G Winskel,"Events, causality and symmetry",2011
"L Kontothanassis, R Stets, G Hunt, ...",Shared memory computing on clusters with symmetric multiprocessors and system area networks,2005
"A Drebes, K Heydemann, N Drach, A Pop, ...",Topology-aware and dependence-aware scheduling and memory allocation for task-parallel languages,2014
"T Shpeisman, AR Adl-Tabatabai, R Geva, Y Ni, ...",Towards transactional memory semantics for c++,2009
B Jonsson,State-space exploration for concurrent algorithms under weak memory orderings: (preliminary version),2009
"A Horn, M Tautschnig, C Val, L Liang, ...",Formal co-validation of low-level hardware/software interfaces,2013
"R Ferreira, X Feng, Z Shao",Parameterized memory models and concurrent separation logic,2010
"H Tang, K Shen, T Yang",Compile/run-time support for threaded MPI execution on multiprogrammed shared memory machines,1999
"JC Blanchette, T Weber, M Batty, S Owens, ...",Nitpicking C++ concurrency,2011
"S Karlsson, M Brorsson",A comparative characterization of communication patterns in applications using MPI and shared memory on an IBM SP2,1998
"M Doko, V Vafeiadis",Tackling real-life relaxed concurrency with FSL++,2017
E Goubault,"Static analysis by abstract interpretation of numerical programs and systems, and FLUCTUAT",2013
"J Stoy, X Shen",Proofs of correctness of cache-coherence protocols,2001
"S Doherty, L Groves, V Luchangco, M Moir",Towards formally specifying and verifying transactional memory,2009
"P Gammie, AL Hosking, K Engelhardt",Relaxing safely: verified on-the-fly garbage collection for x86-TSO,2015
"RH Saavedra, W Mao, D Park, ...","The combined effectiveness of unimodular transformations, tiling, and software prefetching",1996
"TJ Ham, JL Aragón, M Martonosi",DeSC: Decoupled supply-compute communication management for heterogeneous architectures,2015
"PA Abdulla, MF Atig, TP Ngo",The best of both worlds: Trading efficiency and optimality in fence insertion for TSO,2015
"A Linden, P Wolper",A verification-based approach to memory fence insertion in PSO memory systems,2013
"CJ Bell, AW Appel, D Walker",Concurrent separation logic for pipelined parallelization,2010
"E Tomasco, TL Nguyen, O Inverso, ...",Lazy sequentialization for TSO and PSO via shared memory abstractions,2016
"O Travkin, A Mütze, H Wehrheim",SPIN as a linearizability checker under weak memory models,2013
"MF Spear, MM Michael, ML Scott…",Reducing memory ordering overheads in software transactional memory,2009
"SR Sarangi, R Kalayappan, P Kallurkar, ...",Tejas: A java based versatile micro-architectural simulator,2015
"A Holey, A Zhai",Lightweight software transactions on GPUs,2014
"D Lustig, A Wright, A Papakonstantinou, ...",Automated synthesis of comprehensive memory model litmus test suites,2017
"ML Goodstein, E Vlachos, S Chen…",Butterfly analysis: Adapting dataflow analysis to dynamic parallel monitoring,2010
"PA Abdulla, S Aronis, B Jonsson, ...",Source sets: a foundation for optimal dynamic partial order reduction,2017
"PG Joisha, RS Schreiber, P Banerjee, ...",A technique for the effective and automatic reuse of classical compiler optimizations on multithreaded code,2011
"O Shacham, M Sagiv, A Schuster",Scaling model checking of dataraces using dynamic information,2007
"P Fraigniaud, S Rajsbaum, C Travers",On the number of opinions needed for fault-tolerant run-time monitoring in distributed systems,2014
"T Selker, L Koved",Elements of visual language,1988
"Y Duan, A Muzahid, J Torrellas",WeeFence: toward making fences free in TSO,2013
"M Emmi, R Majumdar, R Manevich",Parameterized verification of transactional memories,2010
"CH Ho, SJ Kim, K Sankaralingam",Efficient execution of memory access phases using dataflow specialization,2015
"O Shacham, M Wachs, A Solomatnikov…",Verification of chip multiprocessor memory systems using a relaxed scoreboard,2008
"M Elver, V Nagarajan",McVerSi: A test generation framework for fast memory consistency verification in simulation,2016
"F Pong, M Dubois",Formal automatic verification of cache coherence in multiprocessors with relaxed memory models,2000
"D Cederman, B Chatterjee, P Tsigas",Understanding the performance of concurrent data structures on graphics processors,2012
"T Sorensen, AF Donaldson",Exposing errors related to weak memory in GPU applications,2016
"P Chatterjee, H Sivaraj, G Gopalakrishnan",Shared memory consistency protocol verification against weak memory models: Refinement via model-checking,2002
"X Qiu, M Dubois",Towards virtually-addressed memory hierarchies,2001
"T van Dijk, JC van de Pol",Lace: non-blocking split deque for work-stealing,2014
"A Drebes, A Pop, K Heydemann, A Cohen, ...",Scalable task parallelism for NUMA: A uniform abstraction for coordinated scheduling and memory management,2016
"PA Abdulla, MF Atig, B Jonsson, TP Ngo",Optimal stateless model checking under the release-acquire semantics,2018
"Y Yang, G Gopalakrishnan, G Lindstrom",Memory-model-sensitive data race analysis,2004
"P Schmid, M Besta, T Hoefler",High-performance distributed rma locks,2016
"X Qian, J Torrellas, B Sahelices, D Qian",Volition: scalable and precise sequential consistency violation detection,2013
"L Effinger-Dean, HJ Boehm, D Chakrabarti, ...",Extended sequential reasoning for data-race-free programs,2011
"MD Sinclair, J Alsop, SV Adve",Chasing away rats: Semantics and evaluation for relaxed atomics on heterogeneous systems,2017
"D Lee, M Said, S Narayanasamy…",Offline symbolic analysis to infer total store order,2011
"J Kloosterman, J Beaumont, M Wollman, ...",WarpPool: Sharing requests with inter-warp coalescing for throughput processors,2015
"J Alsop, MS Orr, BM Beckmann, ...",Lazy release consistency for GPUs,2016
"J Alglave, AF Donaldson, D Kroening, ...",Making software verification tools really work,2011
"HH Su, D Bonachea, A Leko, H Sherburne…",GASP! A standardized performance analysis tool interface for global address space programming models,2006
"Y Meshman, A Dan, M Vechev, E Yahav",Synthesis of memory fences via refinement propagation,2014
"S Hong, M Kim",A survey of race bug detection techniques for multithreaded programmes,2015
"A Podkopaev, O Lahav, V Vafeiadis",Bridging the gap between programming languages and hardware weak memory models,2019
"L Higham, L Jackson, J Kawash",Specifying memory consistency of write buffer multiprocessors,2007
"Y Yang, G Gopalakrishnan, G Lindstrom",Specifying Java thread semantics using a uniform memory model,2002
"B McCloskey, DF Bacon, ...",Staccato: A parallel and concurrent real-time compacting garbage collector for multiprocessors,2008
"J Alglave, P Cousot",Ogre and Pythia: an invariance proof method for weak consistency models,2017
"HW Cain, MH Lipasti, R Nair",Constraint Graph Analysis of Multithreaded Programs.,2003
"M Silberstein, B Ford, I Keidar, E Witchel",GPUfs: Integrating a file system with GPUs,2014
"P Permandla, M Roberson, C Boyapati",A type system for preventing data races and deadlocks in the java virtual machine language: 1,2007
"T Warszawski, P Bailis",Acidrain: Concurrency-related attacks on database-backed web applications,2017
"D Kroening, L Liang, T Melham, ...",Effective verification of low-level software with nested interrupts,2015
N Dave,Designing a reorder buffer in Bluespec,2004
"S Aronis, B Jonsson, M Lång, K Sagonas",Optimal dynamic partial order reduction with observers,2018
"J Wickerson, M Batty, BM Beckmann, ...","Remote-scope promotion: clarified, rectified, and verified",2015
"E Derevenetc, R Meyer",Robustness against Power is PSpace-complete,2014
"S Kaxiras, D Klaftenegger, M Norgren, A Ros, ...",Turning centralized coherence and distributed critical-section execution on their head: A new approach for scalable distributed shared memory,2015
"R Palmer, G Gopalakrishnan",Partial order reduction assisted parallel model checking,2002
"J Barnat, L Brim, P Ročkai",Towards LTL model checking of unmodified thread-based C & C++ programs,2012
"G Anderson, D Pym",A calculus and logic of bunched resources and processes,2016
"N Honarmand, J Torrellas",RelaxReplay: record and replay for relaxed-consistency multiprocessors,2014
"J O'Leary, B Saha, MR Tuttle",Model checking transactional memory with Spin,2009
"O Travkin, H Wehrheim",Verification of concurrent programs on weak memory models,2016
"PA Abdulla, MF Atig, A Bouajjani, ...",The benefits of duality in verifying concurrent programs under TSO,2016
"D Harmanci, V Gramoli, P Felber, C Fetzer",Extensible transactional memory testbed,2010
"A Miné, L Mauborgne, X Rival, J Feret, P Cousot, ...",Taking static analysis to the next level: proving the absence of run-time errors and data races with Astrée,2016
"J Pang, W Fokkink, R Hofman, ...",Model checking a cache coherence protocol for a Java DSM implementation,2003
"W Hu, Y Chen, T Chen, C Qian, ...",Linear time memory consistency verification,2011
R Gerth,Sequential consistency and the lazy caching algorithm,1999
"J Huang, AK Rajagopalan",Precise and maximal race detection from incomplete traces,2016
"D Petrović, T Ropars, A Schiper",Leveraging hardware message passing for efficient thread synchronization,2014
"P Bohannon, D Lieuwen, A Silberschatz, ...",Recoverable user-level mutual exclusion,1995
"SP Marti, JS Borras, PL Rodriguez, ...",A complexity-effective out-of-order retirement microarchitecture,2009
"K Jiang, B Jonsson","Using spin to model check concurrent algorithms, using a translation from c to promela",2009
"F Furbach, R Meyer, K Schneider, ...",Memory-model-aware testing: A unified complexity analysis,2015
"B Kasikci, C Zamfir, G Candea",Automated classification of data races under both strong and weak memory models,2015
"N Chong, T Sorensen, J Wickerson","The semantics of transactions and weak memory in x86, Power, ARM, and C++",2018
"C Williams, PF Reynolds, BR de Supinski",Delta coherence protocols,2000
"B Lucia, J Devietti, L Ceze, K Strauss",Atom-Aid: Detecting and surviving atomicity violations,2009
"RCF Melo, MET Walter, ACMA Melo, R Batista…",Comparing two long biological sequences using a dsm system,2003
"PA Abdulla, MF Atig, A Bouajjani, TP Ngo",Context-bounded analysis for POWER,2017
"YC Hu, W Yu, AL Cox, DS Wallach, ...",Run-time support for distributed sharing in typed languages,2000
"J Yang, Q He",Scheduling parallel computations by work stealing: A survey,2018
"YK Chong, K Hwang",Performance analysis of four memory consistency models for multithreaded multiprocessors,1995
"M Kokologiannakis, K Sagonas",Stateless model checking of the Linux kernel's hierarchical read-copy-update (tree RCU),2017
"A Blanchard, N Kosmatov, M Lemerre, ...",A case study on formal verification of the anaxagoros hypervisor paging system with frama-C,2015
"J Alglave, D Kroening, J Lugton, V Nimal, ...",Soundness of data flow analyses for weak memory models,2011
"K Svendsen, J Pichon-Pharabod, M Doko, ...",A separation logic for a promising semantics,2018
"RH Saavedra, WH Mao, K Hwang",Performance and optimization of data prefetching strategies in scalable multiprocessors,1994
"X Qiu, M Dubois",The synonym lookaside buffer: A solution to the synonym problem in virtual caches,2008
"A Bouajjani, G Calin, E Derevenetc, R Meyer",Lazy TSO reachability,2015
"R Vitenberg, R Friedman",On the locality of consistency conditions,2003
"L Higham, J Kawash",Critical sections and producer/consumer queues in weak memory systems,1997
"T Abe, T Maeda",A general model checking framework for various memory consistency models,2017
"NM Lê, A Guatto, A Cohen, A Pop",Correct and efficient bounded FIFO queues,2013
"A Ros, A Jimborean",A dual-consistency cache coherence protocol,2015
"C Trippel, D Lustig, M Martonosi",Checkmate: Automated synthesis of hardware exploits and security litmus tests,2018
"A Cerone, A Gotsman, H Yang",Transaction chopping for parallel snapshot isolation,2015
"A Jantsch, X Chen, A Naeem, Y Zhang, ...",Memory architecture and management in an NoC platform,2012
"A Morrison, Y Afek",Fence-free work stealing on bounded TSO processors,2014
"C Lidbury, AF Donaldson",Dynamic race detection for C++ 11,2017
"Y Duan, X Feng, L Wang, C Zhang, ...",Detecting and eliminating potential violations of sequential consistency for concurrent C/C++ programs,2009
"H Dogan, F Hijaz, M Ahmad, B Kahne, ...",Accelerating graph and machine learning workloads using a shared memory multicore architecture with auxiliary support for in-hardware explicit messaging,2017
"PA Abdulla, MF Atig, J Cederberg",Timed lossy channel systems,2012
"S Mador-Haim, R Alur, ...",Litmus tests for comparing memory consistency models: How long do they need to be?,2011
"G Malhotra, R Kalayappan, S Goel, ...",ParTejas: A parallel simulator for multicore processors,2017
"E Gidron, I Keidar, D Perelman, Y Perez",SALSA: scalable and low synchronization NUMA-aware algorithm for producer-consumer pools,2012
"J Lee, J Kim, J Kim, S Seo, J Lee",An OpenCL framework for homogeneous manycores with no hardware cache coherence,2011
"S Potluri, A Goswami, D Rossetti, ...",GPU-centric communication on NVIDIA GPU clusters with InfiniBand: A case study with OpenSHMEM,2017
BW Lampson,Lazy and speculative execution in computer systems,2008
HM Windisch,The distributed programming language INSEL-concepts and implementation,1996
"A Fernández, E Jiménez, V Cholvi",On the interconnection of causal memory systems,2000
"AJ Summers, P Müller",Automating deductive verification for weak-memory programs (extended version),2020
"A Schuster, L Shalev",Using remote access histories for thread scheduling in distributed shared memory systems,1998
"K Yelick, S Chakrabarti, E Deprit, J Jones, ...",Data structures for irregular applications,1993
"W Zhang, C Sun, J Lim, S Lu, T Reps",Conmem: Detecting crash-triggering concurrency bugs through an effect-oriented approach,2013
"S Castellan, P Clairambault",Causality vs. interleavings in concurrent game semantics,2016
"P Ou, B Demsky",Checking concurrent data structures under the C/C++ 11 memory model,2017
"S Joshi, D Kroening",Property-driven fence insertion using reorder bounded model checking,2015
"L Brutschy, D Dimitrov, P Müller, M Vechev",Static serializability analysis for causal consistency,2018
"M Kandemir, A Choudhary, ...",Reducing false sharing and improving spatial locality in a unified compilation framework,2003
"I Cerrato, G Marchetto, F Risso, R Sisto, ...",An efficient data exchange algorithm for chained network functions,2014
"A Bhattacharjee, D Lustig",Architectural and operating system support for virtual memory,2017
"PA Abdulla, MF Atig, M Lång, TP Ngo",Precise and sound automatic fence insertion procedure under PSO,2015
"L Higham, J Kawash",Memory consistency and process coordination for SPARC multiprocessors,2000
A Polze,How to partition a workstation,1996
"K Wang, Y Lin, SM Blackburn, M Norrish, ...",Draining the swamp: Micro virtual machines as solid foundation for language development,2015
"T Hoare, S van Staden, B Möller, G Struth, ...",Developments in concurrent Kleene algebra,2016
"D Gope, MH Lipasti",Atomic SC for simple in-order processors,2014
"M Geva, Y Wiseman",Distributed shared memory integration,2007
"J Alglave, D Kroening, V Nimal, D Poetzl",Don't sit on the fence: A static analysis approach to automatic fence insertion,2017
"T Sorensen, G Gopalakrishnan, V Grover",Towards shared memory consistency models for GPUs,2013
"M Ahmad, O Khan",Gpu concurrency choices in graph analytics,2016
"E Tomasco, TL Nguyen, O Inverso, B Fischer, ...",MU-CSeq 0.4: individual memory location unwindings,2016
"J Toman, D Grossman",Taming the static analysis beast,2017
JW Maessen,Store Atomicity for Transactional Memory,2007
"MA Hicks, MW van Tol, ...",Towards scalable I/O on a many-core architecture,2010
"A Gotsman, H Yang",Composite replicated data types,2015
"C Yang, K Murthy, ...",Managing asynchronous operations in Coarray Fortran 2.0,2013
"FM Sleiman, TF Wenisch",Efficiently scaling out-of-order cores for simultaneous multithreading,2016
W Puffitsch,"Data caching, garbage collection, and the Java memory model",2009
"M He, V Vafeiadis, S Qin, ...",Reasoning about fences and relaxed atomics,2016
"A De, D D'Souza, R Nasre",Dataflow analysis for datarace-free programs,2011
C Noël,Extensible software transactional memory,2010
"L Liang, PE McKenney, D Kroening, ...",Verification of tree-based hierarchical read-copy update in the Linux kernel,2018
"K Chen, S Malik, P Patra",Runtime validation of transactional memory systems,2008
"AL Cox, S Dwarkadas, P Keleher…",An evaluation of software distributed shared memory for next-generation processors and networks,1993
"S Bijo, EB Johnsen, KI Pun, SLT Tarifa",A Maude framework for cache coherent multicore architectures,2016
"CS Park, K Sen, C Iancu",Scaling data race detection for partitioned global address space programs,2013
"C Pereira, H Patil, B Calder",Reproducible simulation of multi-threaded workloads for architecture design exploration,2008
"B Dongol, J Derrick, IJ Hayes",Fractional permissions and non-deterministic evaluators in interval temporal logic,2013
"A Dahlin, J Ersfolk, G Yang, H Habli, ...",The canals language and its compiler,2009
"J Dubrovin, T Junttila, K Heljanko",Exploiting step semantics for efficient bounded model checking of asynchronous systems,2012
"G Smith, J Derrick, B Dongol",Admit your weakness: Verifying correctness on TSO architectures,2014
"GR Gao, V Sarkar",On the importance of an end-to-end view of memory consistency in future computer systems,1997
"M Cao, J Roemer, A Sengupta, MD Bond",Prescient memory: exposing weak memory model behavior by looking into the future,2016
"D Lustig, S Sahasrabuddhe, O Giroux",A formal analysis of the NVIDIA PTX memory consistency model,2019
"J Wang, K Zhang, X Tang, B Hua",B-queue: efficient and practical queuing for fast core-to-core communication,2013
"S Pervez, G Gopalakrishnan, RM Kirby, ...",Formal methods applied to high‐performance computing software design: a case study of MPI one‐sided communication‐based locking,2010
"A Bhagyanath, K Schneider",Optimal compilation for exposed datapath architectures with buffered processing units by SAT solvers,2016
"F Dahlgren, M Dubois, ...",Performance evaluation and cost analysis of cache protocol extensions for shared-memory multiprocessors,1998
"J Kim, V Sjöberg, R Gu, Z Shao",Safety and liveness of MCS lock—layer by layer,2017
"PA Abdulla, MF Atig, J Cederberg",Analysis of message passing programs using SMT-solvers,2013
"A Bieniusa, P Thiemann",Proving isolation properties for software transactional memory,2011
"P Godefroid, K Sen",Combining model checking and testing,2018
"A Cerone, A Gotsman, H Yang",Algebraic laws for weak consistency,2017
"J Bender, M Lesani, J Palsberg",Declarative fence insertion,2015
"A Singh, S Aga, S Narayanasamy",Efficiently enforcing strong memory ordering in GPUs,2015
"PN Loewenstein, S Chaudhry, R Cypher…",Multiprocessor memory model verification,2006
"D Baudisch, J Brandt, ...",Out-of-order execution of synchronous data-flow networks,2012
"C Ball, M Bull",Barrier synchronisation in java,2003
T Arons,Using timestamping and history variables to verify sequential consistency,2001
"KS Namjoshi, N Singhania",Loopy: Programmable and formally verified loop transformations,2016
"F Pong, M Dubois",Formal verification of delayed consistency protocols,1996
"G Kestor, OS Unsal, A Cristal, S Tasiran",T-Rex: a dynamic race detection tool for C/C++ transactional memory applications,2014
"H Wehrheim, O Travkin",TSO to SC via symbolic execution,2015
"B Dongol, O Travkin, J Derrick, H Wehrheim",A high-level semantics for program execution under total store order memory,2013
"S Doherty, B Dongol, H Wehrheim, J Derrick",Making linearizability compositional for partially ordered executions,2018
"A Horn, D Kroening",On partial order semantics for SAT/SMT-based symbolic encodings of weak memory concurrency,2015
T Ridge,Operational reasoning for concurrent Caml programs and weak memory models,2007
"G Gao, JN Amaral, A Marquez, K Theobald",A refinement of the HTMT program execution model,1998
"G Milman, A Kogan, Y Lev, V Luchangco, ...",BQ: A lock-free queue with batching,2018
"S Bijo, EB Johnsen, KI Pun, SLT Tarifa",An operational semantics of cache coherent multicore architectures,2016
V Luchangco,Against lock-based semantics for transactional memory,2008
MA El-Zawawy,Dead code elimination based pointer analysis for multithreaded programs,2012
"J Giacomoni, T Moseley, ...",Fastforward for efficient pipeline parallelism,2007
"Y Meshman, N Rinetzky, E Yahav",Pattern-based synthesis of synchronization for the C++ memory model,2015
"L Higham, J Kawash",Tight bounds for critical sections in processor consistent platforms,2006
"D Abts, DJ Lilja, S Scott",Toward complexity-effective verification: a case study of the cray SV2 cache coherence protocol,2000
"J Ferrante, D Grunwald, H Srinivasan",Computing communication sets for control parallel programs,1994
"A Raad, M Doko, L Rožić, O Lahav, ...",On library correctness under weak memory consistency: Specifying and verifying concurrent libraries under declarative consistency models,2019
"G Lee, B Quattlebaum, S Cho, ...",Global bus design of a bus-based COMA multiprocessor DICE,1996
"JB Lee, CS Jhon",Reducing coherence overhead of barrier synchronization in software DSMs,1998
"KH Kim, T Yavuz-Kahveci, BA Sanders",JRF-E: using model checking to give advice on eliminating memory model-related bugs,2012
"M Kusano, C Wang",Thread-modular static analysis for relaxed memory models,2017
"C Pulte, J Pichon-Pharabod, J Kang, SH Lee, ...",Promising-ARM/RISC-V: a simpler and faster operational concurrency model,2019
"B Dongol, R Jagadeesan, J Riely, ...",On abstraction and compositionality for weak-memory linearisability,2018
"A Raad, O Lahav, V Vafeiadis",On parallel snapshot isolation and release/acquire consistency,2018
"O Travkin, H Wehrheim",Handling TSO in mechanized linearizability proofs,2014
"P Bolignano, T Jensen, V Siles",Modeling and abstraction of memory management in a hypervisor,2016
"I Kuru, BK Ozkan, SO Mutluergil, ...",Verifying programs under snapshot isolation and similar relaxed consistency models,2014
MJ Carlton,"Multiple-bus, scalable, shared-memory multiprocessors",1995
"M Desnoyers, PE McKenney, ...",Multi-core systems modeling for formal verification of parallel algorithms,2013
"MD Hill, AE Condon, M Plakal, DJ Sorin",A system-level specification framework for I/O architectures,1999
"S Zhang, A Wright, T Bourgeat, ...",Composable building blocks to open up processor design,2018
"S Potluri, D Rossetti, D Becker, D Poole, ...",Exploring OpenSHMEM model to program GPU-based extreme-scale systems,2014
"L Higham, J Kawash",Bounds for mutual exclusion with only processor consistency,2000
"J Ferrante, D Grunwald, ...",Compile-time analysis and optimization of explicitly parallel programs,1997
"ACJ Fox, MJC Gordon, MO Myreen",Specification and verification of ARM hardware and software,2010
PJ Keleher,Update protocols and cluster-based shared memory,1999
"A Naeem, X Chen, Z Lu, ...",Realization and performance comparison of sequential and weak memory consistency models in network-on-chip based multi-core systems,2011
"J McClurg, H Hojjat, P Černý",Synchronization synthesis for network programs,2017
"M Kokologiannakis, A Raad, V Vafeiadis",Model checking for weakly consistent libraries,2019
"TL Nguyen, P Schrammel, B Fischer, ...",Parallel bug-finding in concurrent programs via reduced interleaving instances,2017
"T Abe, T Maeda",Concurrent program logic for relaxed memory consistency models with dependencies across loop iterations,2017
"S Doherty, J Derrick",Linearizability and causality,2016
"RJ Colvin, G Smith",A wide-spectrum language for verification of programs on weak memory models,2018
"B Dongol, J Derrick, L Groves, G Smith",Defining correctness conditions for concurrent objects in multicore architectures,2015
"JJK Park, Y Park, S Mahlke",ELF: maximizing memory-level parallelism for GPUs with coordinated warp and fetch scheduling,2015
"A Naeem, X Chen, Z Lu, A Jantsch",Scalability of relaxed consistency models in NoC based multicore architectures,2010
"F Yu, SC Yang, F Wang, GC Chen…",Symbolic consistency checking of OpenMp parallel programs,2012
J Kawash,Consistency models for internet caching,2004
"A Boukerche, ACMA de Melo, ...",A performance evaluation of a local DNA sequence alignment algorithm on a cluster of workstations,2004
"BW Mammo, V Bertacco, A DeOrio, ...",Post-silicon validation of multiprocessor memory consistency,2015
"J Bhadra, E Trofimova, ...",Validating power architecture™ technology-based MPSoCs through executable specifications,2008
"D Beyer, M Huisman, V Klebanov, ...",Evaluating Software Verification Systems: Benchmarks and Competitions,2014
RNM Watson,Introduction to multithreading and multiprocessing in the freebsd smpng network stack,2005
"C Lin, V Nagarajan, R Gupta",Address-aware fences,2013
"A Ros, S Kaxiras",Fast&furious: A tool for detecting covert racing,2015
"C Pereira, G Pokam, K Danne, R Devarajan, ...",Virtues and obstacles of hardware-assisted multi-processor execution replay,2010
"S Amani, J Andronick, M Bortin, C Lewis, ...",Complx: A verification framework for concurrent imperative programs,2017
M Philippsen,Data parallelism in Java,1998
"F Haziza, L Holík, R Meyer, S Wolff",Pointer race freedom,2016
"B Dongol, R Jagadeesan, J Riely",Transactions in relaxed memory architectures,2017
"A Gotsman, S Burckhardt",Consistency models with global operation sequencing and their composition,2017
"JA Vaughan, T Millstein",Secure information flow for concurrent programs under total store order,2012
"E Tomasco, TL Nguyen, B Fischer, S La Torre, ...",Using shared memory abstractions to design eager sequentializations for weak memory models,2017
"S Conchon, D Declerck, F Zaïdi",Cubicle-: Parameterized Model Checking on Weak Memory,2018
"T Abe, T Ugawa, T Maeda, K Matsumoto",Reducing state explosion for software model checking with relaxed memory consistency models,2016
AN Pears,Using the DiST Simulator to teach parallel computing concepts,1995
"E Wernli, M Lungu, OM Nierstrasz",Incremental dynamic updates with first-class contexts,2013
N Piggin,A lockless page cache in linux,2006
"N Bhardwaj, M Senftleben, K Schneider",Abacus: A processor family for education,2014
"A Polze, M Malek",Network computing with SONiC,1998
"AK Karna, Y Chen, H Yu, H Zhong, J Zhao",The role of model checking in software engineering,2018
"Y Duan, D Koufaty, J Torrellas",SCsafe: Logging sequential consistency violations continuously and precisely,2016
PJ Keleher,A high-level abstraction of shared accesses,2000
"PA Abdulla, J Arora, MF Atig, S Krishna",Verification of programs under the release-acquire semantics,2019
"R Morisset, F Zappa Nardelli","Partially redundant fence elimination for x86, ARM, and Power processors",2017
"A Kristensen, C Low",Problem-oriented object memory: customizing consistency,1995
V Vafeiadis,Formal reasoning about the C11 weak memory model,2015
"T Abe, T Maeda",Optimization of a general model checking framework for various memory consistency models,2014
"JB Manzano, Y Zhang, GR Gao","P3I: the Delaware programmability, productivity and proficiency inquiry",2005
"X Ren, M Lis",Efficient sequential consistency in gpus via relativistic cache coherence,2017
"C Wallace, G Tremblay, JN Amaral",An Abstract State Machine specification and verification of the location consistency memory model and cache protocol,2001
"N Gavrilenko, H Ponce-de-León, F Furbach, ...",BMC for weak memory models: Relation analysis for compact SMT encodings,2019
"G Chen, E Cohen, M Kovalev",Store buffer reduction with MMUs,2014
"U Degenbaev, WJ Paul, N Schirmer",Pervasive theory of memory,2009
A Roychoudhury,Formal reasoning about hardware and software memory models,2002
"H Ponce-de-León, F Furbach, K Heljanko, ...",Portability Analysis for Weak Memory Models porthos: OneToolfor allModels,2017
M Desnoyers,Proving the correctness of nonblocking data structures,2013
"Y Zhang, G Xiao, T Baba",Accelerating sequential programs on commodity multi-core processors,2014
"RB Batista, DN Silva, ACMA de Melo, ...",Using a dsm application to locally align dna sequences,2004
"WC Kwon, LS Pehy",A universal ordered NoC design platform for shared-memory MPSoC,2015
"A Naeem, A Jantsch, Z Lu",Scalability analysis of memory consistency models in NoC-based distributed shared memory SoCs,2013
"S Karlsson, M Brorsson",Producer-push-a protocol enhancement to page-based software distributed shared memory systems,1999
"X Qin, JL Baer",On the use and performance of explicit communication primitives in cache-coherent multiprocessor systems,1997
J Engblom,Debugging real-time multiprocessor systems,2007
"R Hähnle, M Huisman",Deductive software verification: from pen-and-paper proofs to industrial tools,2019
"R Achermann, L Humbel, D Cock, T Roscoe",Physical addressing on real hardware in Isabelle/HOL,2018
